,text
418, sir gautami sf amp seshadri are beloved trains of kakinadians both these trains into very pathatic condition due to their bad coaches and seshadri taking too much time between bza cct especially between slo cctmorethan 2hrs for 13km kindly take necessary action
419, stop in khagraghat road
420,e auction for allotment of minor catering units at different stations over kharagpur division of south eastern railway website 
421,why trains are getting so late if late for 20 30 min it could be understood but the train is late for 4 hours trains like humsafar express has this situation so disappointing train name gorakhpur humsafar train no 19091 
422, their is no water in coach no s4 in train no 20846 both the side
423,totally agree but the thing is a sizable population do not know how to flush railways needs to spread awareness on how to use toilets 
424, on the ticket the timing will be written as konkan railway post monsoon schedule has begun so train was on time kindly check the ticket for timings 
425, y two train in the same route in 10 min diffrent
426,why does every train passing by raigarh rig chhatisgarh gets delayed immideatly before raigarh its injustice with raigarh city 
427, why doing train no 15073 unnecessary late train is standing at lusa railway station for 1 hour nasim ansari pnr 6839744038 b1 32
428,seat condition is very dengerous any time can be accident and effect for passenger 32247 sdah to dkae local compartment no 7 last gate before ladies tag no 11986 
429,travelling with pnr 2350854503 coach toilets are to dirty and littered 
430, 22912 shipra express train has already late 3hrs still stop the train have indian railway 
431, why 19490 gkp adi express late on late by 7 hr from varansi jn 4 he delay all the way double line is there all people suffering
432, indian railway has become worse to worst in last 1 year none of the train is running on time we cannot rely on the railway system i am on train 20823 puri to ajmer and the train running late by 5 hr i am going to miss my office tomor
433, while travelling in the train no 19715 today heard a very sad story of an attendant some people in our country are so shameless and illiterate that they dont t think twice before stealing the linen bedding given to them for use only and the
434, 19490 gkp adi express late on late by 7 hr from varansi jn 4 he delay all the way double line is there all people suffering reply with proper justification
435, my sister is traveling from varanasi to howrah through doon express 13010 in the s3 28 but there are some women claiming that sleeper coach is general coach and they are not ready to leave the seat please resolve this issue asap 
436, kindly confirm is unreserved coaches available in below trains in which we travel with general tickets purchased from uts app or station counter 14646 shalimar express 12916 ashram express
437, 11464 sleeper coach s2 
438, pnr no611379456 and pnr no6711413003 having same seat number please look into this matter urgent basis asap
439, from karmalikrmi to madgaonmao is 29kms amp time taken is 42 mins what are u trying to achieve with such high speed where is 
440,in train 22222 rajdhani b2 seat 13 food was cold and chapattis stuck to each other this was not the exp in train 22221 boarded from gwalior first time such a service in rajdhani ji this feedback not a concern 
441,the condition of pillow cover and is this what we should expect from the railway by paying so much on the tickets should we expect refunds from rail for getting half paid services 
442, traveling in lokshakti exp coach nos a1 from adi to bct my pnr nos is 8655966308 there is only 1 white blanket given by the attendant mr saurabh asking on why only 1 blanket he said there is shortage of blanket and we received only 1 blanket per birth and this is 
443, what kind of stupid ads in official website we use your website for a service not to see misguided ads stop ads in important pages which misguide users your ad placement location is covering important links it s just stupid way 
444, sir it s sad and unfortunate vendors selling water bottle for rs 20 and print price is rs 15 still we are living in corruption sorry to write this
445, on 08 11 2022 recovered a left behind mobile worth rs 12000 in train amp handed over to the pax 
446, please provide me blanket pnr 8458920874 b6 55
447, the train that use to have reservation facility now turned into unreserved train that too converting it from express to superfast but achievements actually have been delivered to the public then 
448,there are so much smells of fishes over all the platforms of howrah railway station shit yaar 
449,with this information i am nit able to get what should i do next 
450, inconvenience caused is regretted provision for providing linen to passenger is not started yet and still in process 
451,i hereby request amp to kindly take action on these location is chaksikandar sonepur division development to ho rhi hai lekin development ke naam pe galat bhi bahut ho rhi hai 
452, train no 11013 coach b3 46 train has come from mumbai and the bedding is not cleared and fresh bedding is not issued no one to bother here 
453, i was to take the mussorie express which was at 10 25 pm from dli now due to the negligence of i missed that train what is this strange behavior
454, train no 12996 coach no b 3 ac temperature is too low please reset it 
455,hello one of your pantry guy sold this rail neer in 20 to everyone i said him price of this bottle is 15 give in 15 he took 20 amp told me i ll be back but he hadn t came yet onboard 15910 next to guard coach seat no 70 
456,train no 12577 bagmati express which departed from patna junction today8th nov there is no water in a3 coach can this matter be looked in at the earliest 
457,nps go back bring back ops no pension no rest if we have no right to ops why mp s mla s minister s right of ops if nps is to good why not they get the benefit of nps 
458, there is no proper information sign board for anand vihar railway station it is at the entrance hidden behind shop and tree which is making it difficult to recognize it should be on the main road before the entrance at height amp bright to be visible to commuters 
459, same trains running late every day and today same is running late by 5 hours and no one help us can you please anyone look in to this matter please help on this 
460, why you guys are not accountable for wasting time of 1000 people in one go why is it so easy for you to just keep delaying trains and no repercussions 02239 rajdhani spl the only speciality of this train is getting late by 9 hours who will answer
461, dear sir i am travelling spj to delhi train numbers 12561 b5 11 number seet sir he will not provide blanket for me sir please help
462, swachhta ka pratik railway ka ek ganda takiya this pillow should be given to every ir officers train 15054 
463, still waiting for the final destination sir already 8 hours late 
464, train no 20942 gct to agra bedroll not provided in a1 coach just now help centre is saying depot mein nahi tha isliye nahi mila sir pehle bata dete toh poora bistar le k aate kindly arrange on next station or refund bed charges 
465, however for eviction at mallikpur a request is being sent to concern department to fixup a programme in this month also 
466, today i am traveling in 12595 from gkp to anand vihar terminal in b 2 on berth no 9 amp 12 with my family pnr 2729817476 sir linen provided by attaindent is very dirty and without hand towel when asked to attendant he replied hamko to aise hi milta hai to hum kya kare 
467, appearance and cooperation mujahid sk resides in mumbai and never come to remove the encroachment from rly land of mallikpur station rly administration is trying hard but it s not being materialise due to non cooperation of police administration 
468, mujahid sk has some personal issue with proprietor of laskar paint namely motiur rahman to take revenge with him through administration to full fill his personal interest he several times submitted complaint with several allegation without any evidence 
469, isnt the rake underutilized can t we design longer wagons to handle 2 such vehicles in a single wagon loading unloading is still a nightmare read serial method and inefficient
470, as per ipf spr at mallikpur 450 to 500 illegal encroachment are existed on rly land since long several eviction programme were fixed but due to non arrival cooperation of local administration it couldn t be executed 
471, so bad need to take strong action against the contractor and service staff 
472, according to running train vacancy chart many berths are vacant between jasidih to dhanbad amp tte is selling these berths in illegal way at his own price not according to railways actual fare 
473,train no 12279 taj express d4 having so many people boarding without tickets and there is no official to look after 
474, after seeing this crowd my co passenger having reserved seats returned back request to concern authority to have control on this over crowd please help
475, is anything happening on this cleaning no response for last 40 mins 
476,why it is too late train 05521 
477,train no 06291 if anybody alive in kindly revert amp let me know when this will run as per scheduled timings dont t have minimum courtesy to respond not able run 100km destination as per scheduled we are talking about bullet train common 
478,train 12262 duronto why is this train late and when can i expect it to reach cst not able to manage one train no official information as well before the journey
479, inspite of taking 4 hours of buffer from scheduled arrival of rajdhaniwhich claims to be on time alwayswe missed the flight at 7pm pathetic service leads to huge loss of amount kindly inform the concerned authority about the same 
480, hi sir i am traveling in train no 17406 and it s running delayed by almost a hour i have a connecting train 55 pm from tirupathi train no 16220 unless this train not reaching in time i can t catch the other one 
481, train no 07455 s6 coach date 8th nov started from tirupathi railway station but no water in toilets bad smell requesting for a quick resolution 
482, i travelled to hyderabad to pune yesterday thru shatabdi fastest journey on wheels but very unhygienic toilets its are very dirty kindly rise the ticket by 100 or more than that but keep the toilets clean 
483, when are the trains from coimbatore to tuticorin rameswaram and shencottah which were running via palani going to be is more than a decade after gauge conversion and these trains which were running on mg have not been restored 
484,the train attendent on train number 13201 pnbe ltt exp coach number a2 is providing the passengers with blankets and complains of inadequate blankets in the train he also asked for monetary returns for blankets pnr 6611023738
485, pnr 6836066132 s8 trn 17008 dt 08 11 22 frm bksc to sc kindly add some rpf person and check the condition in sleeper class there is no space to keep the feet prply crowd is too high that i can t reach to toilet room please hlp
486, received used liens towels in the packet no attendant in the 2tier coach care to help pnr 2350627854 cc 
487, delayed by 1 days 11 hours 10 minutes at tikaria 
488,problem solved sir 
489, there are lots of cockroaches in paschim express in 3rd ac b5 coach we are unable to eat or sleep due to this pnr no 2728694687
490,sir by mistake my friend write twice his name on the ticket vinay singh now att asking money for new ticket we have 2 tickets our pnr no are 2612823270 2350854693 please help 
491, very poor coach maintanence in train no 15018 insects amp cockroaches are seen inside the b6 coach no cleanliness in toilet wash basin is damaged request concerned authorities to look in to it 
492,dear i am travelling with my 1 month baby from train no 02239dnr to ndls it is already running late by more than 7 hour but it is still being stoped at many location for than an hour and running very slow please do the needful 
493, until railway police dont t show real intent to investigate these cases the count will never come down thieves also know that police hardly take interest in these cases still we hv faith in our system kindly help them to get their belongings 
494, ac is not working in 12986 from the 1 30 hr pnr no 2512888599 please look into this sir 
495,my counter ticket to ksr bangaluru was not confirmed now employees at buxar station making excuses that counter ticket will not be cancelled please sort out my problem asap 
496, all accidents of vande bharat train r happening near anand navsari that area needs to be cordoned enough so animals or ppl dont come on track and what happen to that invented auto break system 
497, railway is helpless to provide clean and clear bed sheets why should i take dirty bed sheets who is responsible person for that i am very fadup on this government is announcing so many precautions on covid 19 safety but is this actual safety for travelers 
498, train no 20823 puri ajmer is running late by 5 hr irony of the indian railway system is that they dont t even regret for the inconveniences cause to the passenger even the route not get clear for the late train
499,first time in life experienced such restrictions on email service provider 
500, matter related with lko division 
501, simple solution is4gok2ask swr to extend memu trains to chikkaballapura 6 memu trains go to devanahalli amp return every day 
502, train no 13351 alappuzha express dt 08 nov 2022 from ranchi to chennai coach no s5 seat no 1 2 3 not able to get our seats due to filled by unauthorised people and ticketless passengers 
503, superfast trains on konkan railway have alternate stops for example janshatabdi has thivimm mangalore express stops at kankavali if superfast trains stop at more stops it will take the form of normal express
504, pool of water in pf no 2 amp 3 at station commuters are put to hardship during boarding amp alighting very bad workmanship while laying connect between platform to subway stagnant rain water subway entrance on pf 1 too 
505, why trainseg 22538 running so late
506, train no 01673 is delayed by more than 10 hours and now it s going to reach old delhi at midnight where should the passengers go at that hour when finding the cabs is almost impossible 
507,it is learnt that pm modi is not laying foundation stone for railway zone in this visit to vizag why intentionally delaying railway zone 
508, is unresponsive in sorting out public grievances its helpline 14646 fails to help despite having valid id repeated verifications are norm due to technical glitches at their end customer suffers endlessly 
509,horribly crowded s7 coach of 12312 dn netaji express why so many people inside reserved coach no police no tte bonafide passengers suffer a lot rest sleep unthinkable see 
510,booked a ticket in 20801 magadh express for date 08th nov 2022 in the coach a1 and the blanket is missing and can t find any attendant to address the issue 
511, your train delayed due to maintenance work on track this has caused heavy congestion on route inconvenience caused is deeply re regretted 
512, train 20823 puri ajmer superfast exp took 21 hrs to cover 966 km distance between bhubaneshwar and nagpur ie 46km hr why on earth is it named superfast at least change the name to exp or passenger or name it superfast bullock cart 
513, cdo brka is useless please make arrangements for this train to have primary maintements at singrauli sgrl has more coaches to take care of when compared to brka here 6 express train originate terminate while at brka just 1 train sgrl is a feasible option for having new trains 
514, why are many trains getting late in prayagraj division between prayagraj cheoki to prayagraj junction and train no 12801 amp 12397 is raining late on daily 
515, train number 12874 coach m2 there is no water in washroom also the washrooms are very dirty no linen is also provided see the status of washrooms indians railway claim of comfortable journey is ignored 
516,this thing is still pending check timings before boarding still being printed on tickets kindly treat this as most urgent dep arr date and time should be mentioned 
517, pnr 6109616004 train so late can indian rail responsible for this so many waste of time by indian rail please try to reach us at time
518, corngratulation sir being a part of railway family
519, from to kishangunj there are total 3 trains available and all these travels via new delhi but this takes more time and if one of it could travel via then it may reach early please review this route once attaching screen shot 
520,dear sir indian railway is doing tremendous job for indians even govt is also doing lots of good things but the actual fact is this is all waste for us until unless we will not be able to book tatkal tickets easily 
521, sorry for the inconvenience caused deeply regretted informed to concerned to spray the cockroach spray hit in coach 
522, any body for indian railway kindly update status why harassing passengers 
523,train no 12561 sleeper s4 birth no 1 to 4 swatantra senani express birth ke niche bande so rahe hain please remove it note khare hone ka jagah nhi hai please inko hatwaiye juldy 
524,intensive cleanliness drive in retiring room at railway station 
525, which coach no ac is not working
526, requesting amp to write the procedure of paying by card upi at prs locations few locations have instructions displayed card upi id must be written on the form and card must be submitted along with the form should be displayed in all pos enabled prs 
527,sr i am traveling barauni jn to siwan jn in train no 15203 i have alloted middle berth which hooks are not working please do something arrangement my pnr no 6611413949 seat no s3 21 mo no 7667711991 
528,not supportive to get help from grps staff for greverence at their work place hope common people will get needful support station 
529, yes indeed very pathetic service my train is also 4 hsr late how we can say mera desh badal raha hai 
530, i think now train are not sent to yard 12489i boarded from bikaner toilets dont t have flush and tap washbasin tap can t use cleanliness i have to cover my face from mask bcoz of dirty smell in new coaches condition is this cleanliness repair work are very poor
531,what is the reason for delay for train no 22317 humsafar express 
532,pnr 2825894520 2145506344 2145009753 2145009942 kalka mail this is the condition of reservation counter we were eating food and crowd came destroyed food see the condition 
533, there is no transparency in providing details of food availability slots and timing and also food items transparency in train no 12294 ltt duronto inspite of pre booking and selection of food 
534, dear sir we sre travelling from chennai to dhanbad in a3 pnr no 4339027899 the cleaning staff are not cleaning the bathroom the bathroom is very bad smelling and dirty do needful
535, why 22405 is running 1h20m late please see in this matter and why always this train becomes late why are you not improving this this happens almost every time 
536, you could load lot of other stuff in the vacant area in between such a waste of resource isn t it
537, travelling in 12775 cocanada ac sf exp seems dwarapudi is given hault for this train as its stopped for around 5mims 20mins late running to cover 42km giving 100 marks for cleaning and maintenance coa coaching depot manager should be appreciated
538,railways emerging as the preferred mode of transportation of automobiles recently a dbkm rake containing 32 automobile trucks was loaded from tatanagar jharkhand to pune maharashtra 
539, staggered halt policy
540,dear pm sir you are making lots of efforts to improve the country and day by day inaugurating new trains today i am traveling by 02563 after my chath pooja paid higher fare to normal train but this train is running 4 hr late 
541, finally thanks thanks indian railways for closing the ticket and not resolving my issue and giving fake empathy really felt unhappy and disturbed it was a painful experience with you and entire day j could not even seat properly and it started a back and neck pain also thnx
542, make trains run on time too
543,train 19270 is running 12hrs late what is the reason of this delay disappointed with the services
544, these rakes are under loaded how can railways afford such loss 
545, dear sir seat cleaning has been attended by obhs staff sorry for inconvenience faced by you 
546, train 12445 h1 just startes from ndls toilets not clean check yourself dont call me
547, my mobile number 9157394009
548, traveling in 12393 sampoorn karanti express in s5 people without ticket has occupied my seat and i am standing there is no tt and rpf to help kindly help me it s suffocating i am feeling sick 
549,spoiled food delivered in train food on track to the client and hardly answers the client s call and rude responds also not responding order id 91118842 navjeean express 
550,stains on the pillow cover provided by attendent in train no 12553 3rd ac at b2 60 from gorakhpur 
551, dear sir i am traveling from 14645 pnr 2145420180 in s 7 toilet are very dirty please make it to use mukesh kumar gupta 8471072602
552,booked a train from nashik to nizamuddin there are 2 senior citizens we have received only 1 lower bearth with 2 senior citizens that too not for the senior citizen plus there are a lot of seats already available provide 2 lower bearth minimum 
553, respected sirs why at kalyan stn mumbai indicators are not having facility to display ac with train timings for ac locals
554, if cannot run this train please transfer to 
555,hi i am a trainee of a government iti far away from my home so i am using the train sometimes for home commuting in the institute but it is very expensive 
556, very poor service train no 02563 is late by 4 hrs without any reasons dont t know how indian railways will improve the timing and starts giving value to common people time 
557, please update the schedules of 12052 many websites are still showing departure from mao as 12pm instead of 3pm also halt at thvm must be increased to 5m please look into it 
558, why there is difference in base fare between regular booking and tatkal booking why would base fair change if tatkal amount is being charged additionally 
559,this is station mup even though platform are vacant available passenger trains are always stationed at platform 7 which has no basic amenities what kind of management is this what is the reason for such incidents 
560, any comments about this 
561,train no 12445 pnr no 2144431691 coach no s5 65 this train just departed from ndls ph no 9990076751 toilet situation is very miserable here bad fumes are spreading everywhere in coach 
562, how could you closed my issue without any resolution i have a valid proof of cancellation of ticket through message sent by irctc kindly resolve my issue as soon as possible 
563, i a first steps we are saying that we have become 5th largest economy and have world class railway network and lounching bullet train but existing service is very worse no important of common people time traveling via train no 02563 which is almost 4 hrs late 
564, my seat no was 65 and the coach was c1
565, you people can t read the tweet the desired details are given there shame on you 
566, sir help me for searching my parcel 
567,train 12810 hwh csmt attendant missing no blankets given in ac b 5 berth nos 29 amp 32 tt feigned ignorance what are the female passengers travelling supposed to do please help 
568, dear team it is humble request to ur team please arrange to display coach number at plateform in jaunpur railway station this coach not display at plateform problem in jaunpur railway station last 2 year however display showing only pf 5
569, waiting for guatami in noac ninhygene holding 1 st class ac pad rs 25 per hour too most congested platform one
570, garbage in barddhmaan junction waiting hall of platform no 1 and looking bad please help to get it clean asap no 9871805149 
571, no help till now from indian railway request your kind help here 
572, is there any value of the common man s time here what should be action if the train gets delayed more than 8 hrs 
573, sir mai aaj hazaribagh road railway station se gaya ke liye safar krne wala tbhi suddenly meri train hzd ke pf pe arrived ho gyi pta hi nhi chla becz announcement ki awaz bahoot kam h kam se kam do baar announcement ho arrived hone ke baad bhi 
574, train no 13009 running late by 2 30 hrs amp still standing on the outskirts of lko raised complaint on railamadad vide ref no 2022110805403 and got unsatisfactory response looks like india is progressing but indian railways is still in ancient times 
575, i am traveling by 12801 but train is stuck at prayagraj station since 1 hour why does prayagraj station not give clear line nowadays prayagraj station is delaying in giving clear line to purushottam express everyday please clear the line asap 
576, pl visit ac rest timmons shambles
577, i got salted food and worst train telengana express general coach passengers disturbing reserved coaches passengers we reserved for reserved coach not in general coach this is my feedback for telengana express 12723
578, soy should make him sit in ac 1 st class waiting room on platform no1 in sham please without ac torn seats rs 25 per hour crude service congested in clean in platform no 1 a prestigious platform boast a lot pl visit woth honble ministers and spend
579,i m booking my train tkt in tatkl thinking my waiting list ticket won t get confirm bt surprisingly both d tickets r getting confimed amp i m loosing one ticket money everytime any help in this matter with the money of 2 tkts i can buk flight tkt 
580, bough water bottle from irctc vendor at rs 20 but no price is mentioned on the bottle may i know why 
581, there is no provision on website app to raise complaints about failed recharge transactions app asks for train no even after selecting uts option no relevant options in type subtype menus what a clasic system 
582, pnr no 6611344984 issue raise person phone number is 8800310066 
583,hello sir why train no 12650 sampark kranti exp nzm to ypr is taking the longest possible route between kacheguda kcg to yeswantpur ypr when earlist route is available 
584,late the word become daily routine for howrah bardhaman main line for nearly all up down local trains time is money but that s not happening with 
585,swachh bharat gone what s happening train no 16349 pnr 4139264082 
586, aapko receipt lena tha aur woh receipt ke sath complaint register karna tha i dont t think anything can be done as evidence is not complete 
587,12195 and 01911 ki depature timing covid se phle sahi thi please change depature time of following mention train 12195 dep time should be 5 05 hrs and depature time of 01911 should be 17 05 hr s from source stn please consider 
588, i am sitting in rajdhani 12424 sit 37 and 38 and serving table is dirty left by earlier passengers who alighted at ghy and no one is there to clean 
589, reminder 5 sir have tweeted on 5th of november but haven t answered to me request to intervene thank you
590, sir this is very depressing that from gaya jn there is only 1 train for dehradun and that train is so poor in every expect ex very bad coaches running late by 5 6 hours always so look in this every body on that train just exchanging bad words for ir 
591, train no 01677 gaya to n delhi running late around 5 hour 1 of my family member reena sinha in this train on s1 seat no 52 can t able to connect by phone from last 2 3 hour kindly share the issue with this train petroling staff tte 
592, ticket not booked buy money deducted and not refunded for irctc txn id 100003766164511 dated 05nov 2022 this happened earlier also for txn id 100003500863362 and 100003500850658 dated 25jun2022 it s hard earned money looted by irctc 
593, no single direct train from vskp narasapur existing trains link removed passengers incl old divyang patients pregnant women with kids amp luggages struggling nidadavolu ns in summer rainy seasons also on behalf of public pray to provide exp 
594, sir the inconvenience caused is deeply regretted your complaint has been noted down and informed the maintenance depot for this issue we are really sorry that you have faced this type of problem in future we assure you of non recurrence of such incidents thank you 
595, no of passenger train cancelled during covid still not regularize it s impacted life of villages those who are dependent on fast and economical transportation please reschedule them at earliest particularly on central railway section
596,please conserve the energy and costing light are on in the bogies till 2pm in the ahmedabad express noted this while travelling from dahanu to mumbai 
597, it s the duty of indian railways to take care of it s passanger in medical emergency also 
598, no bro because school fees it s very costly for me so i dont t afford it 
599,so pathetic service of indian railway no food no water dirty toilets travelling from jodhpur to delhi sarai rohilla0n 08 11 2022 
600,there is no water in hyb ubl express 17320 how can we go to the washroom without water 
601,i am now travelling in train no 13349 sgrl pnbe express b1 59 there are lot of insects roaming in compartment how i will sleep at night 
602, my rac ticket was downgraded from 2a to 3a at time of chart preparation by irctc i informed tte and emailed irctc before boarding train how do i get the refund when tte has not issued me any certificate for same please advise 
603, it seems technical inherent manufacturing defect but for the better of our railway i have pointed out 
604, see below how careless is the management of indian railways 
605,there s a leakage in the train no 22867 nzm humsafar in the b6 coach and there s no one to look at it kindly get it fixed 
606, sir your complain has been received and forwarded to concerned rpf officials for n a please share your contact number for further assistance
607, sir ikindlyrequest please give us one chance sir i have completed 2009 batch in icf as an apprentice and i dont t know the message that i have to upload nac mark lastly please give us one last chance sir our life depends on one chance you give us 
608, all these holiday special trains are given leaat priority so avoid travelling in these trains unless very urgent or necessary 
609, sir the trains are getting very late the reason is not even known and this is happening everyday please tell that train no 12994 puri gimb sf and train no 20823 puri all sf is running late and why most of the trains are getting late 
610, did you hear 3 language announcements in is non locals immigrant labors those who dont t understand english aren t bonafide travellers is it not the a stake holder even though urban trnsprt is a rqusts ur gud ofices in adrsng tis 
611,still my problem not solved 
612,pnr 2612900178 pantry vendor is selling overpriced meals when i asked for rate list the vendor denied and they are not wearing id card or name plate please do something about overpricing 
613, train no 06291 if anybody alive in kindly revert amp let me know when this will run as per scheduled timings dont t have minimum courtesy to respond not able run 100km destination as per scheduled we are talking about bullet train common 
614,hello v r travailing cstm to ned by rajyarani exp 17612 seat no 6 8 amp 72 but all toilets are dirty amp no water how can the passengers use toilets without water train now cross kalyan jn please help
615, it is technical like inherent defect and i am just trying to bring it to your notice just see what can be done my good wishes 
616, nothing improve still this train is running like bail gaadi u r looting passengers money and time both from one hour it stuck on sahganj junction no maai baap at all train no 04651 earlier when i complained u told me that we improve 
617,dear train got diverted 3 days before the departure cannot provide alternative bcoz diversion was preplanned it means diversion was informed 6 hrs before the journey then what about booking tkt 120 days advancepreplanned or scam
618,what s happening with nowdays with railways even bathroom are not cleaned its very dirty after paying too much amount s4 pune patna train no 12150 b63 b64 the toilet are very dirty please clean it fast 
619, ac in boggi no b5 b6 b1of train no 12129 is not working departure date 08 10 2022
620,too many cockroaches in train no 12080 jan shatabdi hubli to bangalore d10 coach i request you to clean the entire coach asap 
621, my train okha gorakhpur standing at domingarh without any reason for last an hour and passenger are suffering i seems that railway is not responsible like bhaad mei jaoo
622,sir she is from aligarh and by mistake onboarded on 12584 next stoppage is moradabad she doesn t have any contact no please help to send her to aligarh 
623, and again no water in taps followed by mess all around in the toilets kindly look into it asap and do the needful at the earliest travellers are having a tough time this is in regards to toilets and taps near the b3 coach
624,only possible in india howrah tarakeswar local vegetable bazaar 
625,so i will request and sir to look into this issue and if possible please accommodate them in the next possible flight to guwahati or help them get a refund of the flight charges in case of the delay of the train exceeding the acceptable hours 
626, train no 06291 if anybody alive in kindly revert amp let me know when this will run as per scheduled timings dont t have minimum courtesy to respond not able run 100km destination as per scheduled we are talking about bullet train common 
627, what has happened to my inglis 
628, what about tickets waiting list and actual booking once a time i go for travel official work i search tickets status 185 then i bought a ticket from tatkal windows and reached for traveling into train i shocked to saw all seats are vacant what about facts
629, train 12705 stranded at wgl station fornpast 40 mins sm instructions to leave other express train is it fair 
630, hi i am currently traveling in rasdhani express 12423 in b3 the cattring stuff is so unresponsive that i been waiting for morethan 4 hours for a water bottle 
631, good suggestion if it is belagavi hubbalii bellary raichur kalaburagi bidar manuguru will be more usefull for ka people 
632,train no 06291 if anybody alive in kindly revert amp let me know when this will run as per scheduled timings dont t have minimum courtesy to respond not able run 100km destination as per scheduled we are talking about bullet train common 
633, this website is operated from china cn extension is by china 
634, need action
635, looks like i have to make a complaint on pg portal 
636,this is the fourth message from railmadad for closing the complaint without solving it i asked blankets and bedsheets and then this is their service train no 05216 
637,traveled by 01026 from bui to et pnr no 2612182996 no bedroll provided in the journey also this train was run with special fare more u pay worst is service yeh hai naye bharat ka naya railways 
638, 12262 howrah mumbai durinto started on 7th nov 2022 delayed by over 12 hours full ticket price should be refunded request u to look into it 
639, pl share your contact amp journery details for further assistance
640, congratulations sir in 2019 sr announced tr no16089 90 yelagiri exp will stop ambattur in both directions but platform problem so withdrawn the announcement now platforms are constructed so please give halt 
641,pnr 6311336836 travelling from 13024 gaya hwh express there is no water in any of the taps in the coach or in any bathrooms the attendant is not to be seen anywhere and is least bothered please take necessary action
642, can you do something to resolve this pathetic service of indian railway amp can you please stop charging passengers so high i m the name of ac service 15904 chandigarh dibrugarh express standing at guwahati from last 1 hour without any reason amp no ac 
643,halted at buti bori for 7min taking halt at almost every station between wardha and nagpur very poor punctuality ir taking fare of superfast where as priority is like passenger 
644,pnr 8659005882 doj 05 nov 2022 lost my keys during the journey any help possible 
645, also make representation of restoring facilities of providing fc vice fc coaches in valsad intercity 12929 30 and gujarat exp 22953 54 so many issues in south gujarat inspite of having representation not getting solution 
646,i would have got the metro if the train had departed on time do you even care about the problems people face due to these delays in trains 
647,dont t close complaint in a minute with operation reason check with ground team everyday won t delay with operational reason instead of doing so called work do some justify for take home salary 
648, sir notice my metter i twit you for my stolen parcel 
649, hello indian railways i booked tickets in tatkal mine total journey duration is 10 hrs train is more than 11 hr late i travelled by bus can u please provide refound of mine ticket indian railways really disappointed me due to late running
650, parents senior citizen tickets showing waitlist came to gaya ji bihar for ancestors ritual please help pnr 6210186818 pnr 6610187021
651,shri arun kumar jain gm scrly accompanied by shri a k gupta drm sc inspected new ntpc phase i works siding line at ramagundam 
652,this is the service of second class coach of train no05216 bedsheets and blankets are not available this is the service of railway my phone no 6299669309 pnr 475920205 
653, dont t have minimum courtesy or common sense to resolve issue revert back passengers concern everyday morning and evening more 1hr delayed to reach 100km destination shame on unfit staff in bangalore division 
654, i am requesting the whole indian railways to ask the onboarded tte to use hht device irrespective of zone a honest approach need to be adopted by the tte irrespective of their zone current zone tte should also use the device while checking the tickets 
655, will you arrange a cab for me and my wife from delhi to gurgaon and pay for it at midnight bcz your railway system still sucks totally pathetic 14218 train scheduled time 16 45 but departed at 19 40
656, train 03436 is late by 7 hrs and no advance info has been shared by could you please assist 
657, train no 22180 pnr no 4652065204 s 10 12no seat sir my uncle is travelling alone and he is having medical issues i am calling him from last one hour and he is not responding pl do something and check if he is ok pl sir
658, train no 06291 it suppose to departure kr puram at 7 30pm not yet came and yesterday 3hrs delayed let me know today how many hrs need to start shame on dear kindly change minister no use after became minister in this ministry
659,falna station upper class waiting room is closed are world class services amenities only on paper 
660, your request for medical assistance is noted in rail madad attending and replying through it 
661, hi team kindly check the below link looks like some online scam using the name of indian railways 
662, it is to bring to your kind notice that due to negligance of rail control room gaya hiwrah 13024 departed before time from sultanganj station causing inconvinience to me 
663, intent is to show vande bharat in a bad light chronology
664, iam travelling to rangiya pnr 2247134154and due to delay iam going to miss my connecting train pnr6411372388 please suggest me the way to reach my destination and what about my loss my no 91010r8054
665, as per railmadad reference no 2022110805215 incident happened before gkp kindly look into it 
666, sir check this tte is also saying yatri ki sikhayat sahi hai kindly refund my amount of as no facilities was provided and take strict action against corrupted vender not provided pillow bedsheet towel 
667, i am boarding 18047 amravati express b1 rac 15 and b1 rac 23 pnr 6310446788 i am travelling with 2 ladies and i am facing problems since the tt is clearly giving out seats to unreserved people instead of accomadating us 
668,pnr no6110871561 mob 9434457002 very foul smell is coming out from toilet train is not cleaned yet 
669, is traveling without ticket to jabalpur from lucknow 
670, request for stop at khed ratnagiri
671, in a premium train like u have trays like these which dont t open and moreover the irresponsible tte doesn t take an action even after being informed at the starting of the journey need refund pnr 2450002757 
672, image as going around on twitter please do the needful kindly order different coloured sheets 
673, l m traveling train no 12835 to much crowd here no little space 4 go to toilet passenger also in toilet
674, high level of corruption in railways not providing bedsheet pillow cover and towel i was traveling in train details below kindly refund my money as i am not provided facilities 
675, is it paid service or free service
676, no water coach no b9 a c very slow coach dirty smelling new delhi dibrugardh rajdhani express train no 20504 pnr no 2150919269 
677, i send this to howrah parcel department i want ans otherwise i will go in court 
678,hon ble sir plzzzzzz clear 100 technician waiting of rrb cen 01 2018 
679, i couldnt book ticket in 17201 golconda express from guntur on research i found its starting from madhira tommorow is the train permanently cancelled from guntur jn 
680,again and again disappointed we face train late problem from last one year we are a mango man aam aadami not a people of aap yesterday i miss my flight due to as it is my train is late from 1 30 hrs to 5 hrs and i dont t get any refund from or 
681, train no 04988 delhi express special is standing at delhi kishanganj railway station for the last 35 mins what type of service is this
